SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Alpha_Desc	Description
89	ELD2	mouse	29	A31	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
90	ELD2	mouse	29	A32	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
94	ELD2	piglet	6of7	6A	7-Mar-18	NA	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
95	ELD2	piglet	6of7	6B	7-Mar-18	NA	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
96	ELD2	piglet	6of7	6C	7-Mar-18	NA	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
97	ELD2	mouse	29	A33	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
98	ELD2	mouse	29	A34	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
99	ELD2	mouse	29	A35	17-Aug-17	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
100	ELD2	mouse	29	A36	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
101	ELD2	mouse	29	A37	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
102	ELD2	mouse	29	A38	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
103	ADLT2	piglet	1of7	1A	18-Mar-18	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
104	ADLT2	piglet	1of7	1B	18-Mar-18	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
106	CHLD2	piglet	4of7	4A	12-Mar-18	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
107	CHLD2	piglet	4of7	4B	12-Mar-18	male	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
108	CHLD2	piglet	4of7	4C	12-Mar-18	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
109	ELD2	mouse	29	A39	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
110	ELD2	mouse	29	A40	17-Aug-17	female	NA	solid	fecal	NA	2_days_post_inoc	48hrs_post_inoc
111	INF2	mouse	22	B2	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
112	INF2	mouse	22	B4	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
113	INF2	mouse	22	B5	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
114	INF2	mouse	22	B6	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
118	ADLT2	piglet	1of7	1A	18-Mar-18	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
119	ADLT2	piglet	1of7	1B	18-Mar-18	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
120	ADLT2	piglet	1of7	1C	18-Mar-18	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
121	INF2	mouse	22	B7	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
122	INF2	mouse	22	B8	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
123	INF2	mouse	22	B9	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
124	INF2	mouse	22	B10	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
125	CHLD2	mouse	27	B11	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
126	CHLD2	mouse	27	B13	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
127	CHLD2	piglet	4of7	4A	17-Mar-18	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
128	CHLD2	piglet	4of7	4B	17-Mar-18	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
129	CHLD2	piglet	4of7	4C	17-Mar-18	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
133	CHLD2	mouse	27	B14	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
134	CHLD2	mouse	27	B15	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
135	CHLD2	mouse	27	B16	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
136	CHLD2	mouse	27	B17	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
137	CHLD2	mouse	27	B18	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
138	CHLD2	mouse	27	B19	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
139	INF2	piglet	SF6	SF6A	22-Feb-18	female	early	milk	fecal	NA	7_days_post_inoc	1week_post_inoc
140	INF2	piglet	SF6	SF6B	22-Feb-18	female	early	milk	fecal	NA	7_days_post_inoc	1week_post_inoc
141	INF2	piglet	SF6	SF6C	22-Feb-18	female	early	milk	fecal	NA	7_days_post_inoc	1week_post_inoc
145	CHLD2	mouse	27	B20	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
146	ADLT2	mouse	28	B21	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
147	ADLT2	mouse	28	B22	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
148	ADLT2	mouse	28	B23	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
149	ADLT2	mouse	28	B24	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
150	ADLT2	mouse	28	B25	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
151	INF2	piglet	SF6	SF6A	1-Mar-18	female	early	milk	fecal	NA	14_days_post_inoc	2weeks_post_inoc
152	INF2	piglet	SF6	SF6B	1-Mar-18	female	early	milk	fecal	NA	14_days_post_inoc	2weeks_post_inoc
153	INF2	piglet	SF6	SF6C	1-Mar-18	female	early	milk	fecal	NA	14_days_post_inoc	2weeks_post_inoc
154	ADLT2	piglet	1of7	1A	30-Mar-18	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
155	ADLT2	piglet	1of7	1B	30-Mar-18	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
156	ADLT2	piglet	1of7	1C	30-Mar-18	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
157	ADLT2	mouse	28	B26	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
158	ADLT2	mouse	28	B27	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
159	ADLT2	mouse	28	B28	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
160	ADLT2	mouse	28	B29	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
161	ADLT2	mouse	28	B30	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
162	ELD2	mouse	29	B31	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
163	CHLD2	piglet	4of7	4A	24-Mar-18	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
164	CHLD2	piglet	4of7	4B	24-Mar-18	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
165	CHLD2	piglet	4of7	4C	24-Mar-18	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
169	ELD2	mouse	29	B32	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
170	ELD2	mouse	29	B33	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
171	ELD2	mouse	29	B34	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
172	ELD2	mouse	29	B35	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
173	ELD2	mouse	29	B36	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
174	ELD2	mouse	29	B37	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
175	INF2	piglet	3of7	3A	14-Mar-18	male	late	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
176	INF2	piglet	3of7	3B	14-Mar-18	female	late	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
177	INF2	piglet	3of7	3C	14-Mar-18	male	late	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
182	ELD2	mouse	29	B39	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
183	ELD2	mouse	29	B40	22-Aug-17	female	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
184	CHLD2	mouse	27	B12	22-Aug-17	male	NA	solid	fecal	NA	7_days_post_inoc	1week_post_inoc
185	INF2	mouse	22	C2	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
186	INF2	mouse	22	C4	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
187	ELD2	piglet	6of7	6A	14-Mar-18	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
188	ELD2	piglet	6of7	6B	14-Mar-18	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
189	ELD2	piglet	6of7	6C	14-Mar-18	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
193	INF2	mouse	22	C5	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
194	INF2	mouse	22	C6	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
195	INF2	mouse	22	C7	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
196	INF2	mouse	22	C8	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
197	INF2	mouse	22	C9	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
198	INF2	mouse	22	C10	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
203	CHLD2	piglet	4of7	4A	31-Mar-18	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
204	CHLD2	piglet	4of7	4B	31-Mar-18	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
205	CHLD2	mouse	27	C11	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
206	CHLD2	mouse	27	C12	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
207	CHLD2	mouse	27	C13	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
208	CHLD2	mouse	27	C14	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
209	CHLD2	mouse	27	C15	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
210	CHLD2	mouse	27	C16	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
211	CHLD2	piglet	4of7	4C	31-Mar-18	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
212	ADLT2	piglet	1of7	1A	13-Apr-18	female	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
213	ADLT2	piglet	1of7	1B	13-Apr-18	female	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
214	ADLT2	piglet	1of7	1C	13-Apr-18	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
215	INF2	piglet	3of7	3A	28-Mar-18	male	late	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
216	INF2	piglet	3of7	3B	28-Mar-18	female	late	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
217	CHLD2	mouse	27	C17	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
218	CHLD2	mouse	27	C18	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
219	CHLD2	mouse	27	C19	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
220	CHLD2	mouse	27	C20	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
221	ADLT2	mouse	28	C21	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
222	ADLT2	mouse	28	C22	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
223	INF2	piglet	3of7	3C	28-Mar-18	male	late	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
229	ADLT2	mouse	28	C23	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
230	ADLT2	mouse	28	C24	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
231	ADLT2	mouse	28	C25	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
232	ADLT2	mouse	28	C26	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
233	ADLT2	mouse	28	C27	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
234	ADLT2	mouse	28	C28	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
237	ELD2	piglet	6of7	6A	28-Mar-18	female	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
238	ELD2	piglet	6of7	6B	28-Mar-18	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
239	ELD2	piglet	6of7	6C	28-Mar-18	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
240	INF2	piglet	SF6	SF6A	15-Mar-18	female	early	milk	fecal	NA	28_days_post_inoc	4weeks_post_inoc
241	ADLT2	mouse	28	C29	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
242	ADLT2	mouse	28	C30	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
243	ELD2	mouse	29	C31	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
244	ELD2	mouse	29	C32	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
245	ELD2	mouse	29	C33	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
246	ELD2	mouse	29	C34	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
247	INF2	piglet	SF6	SF6B	15-Mar-18	female	early	milk	fecal	NA	28_days_post_inoc	4weeks_post_inoc
248	INF2	piglet	SF6	SF6C	15-Mar-18	female	early	milk	fecal	NA	28_days_post_inoc	4weeks_post_inoc
249	CHLD2	piglet	4of7	4A	7-Apr-18	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
250	CHLD2	piglet	4of7	4B	7-Apr-18	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
251	CHLD2	piglet	4of7	4C	7-Apr-18	female	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
252	INF2	piglet	3of7	3A	4-Apr-18	male	late	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
253	ELD2	mouse	29	C35	29-Aug-17	male	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
254	ELD2	mouse	29	C36	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
255	ELD2	mouse	29	C37	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
256	ELD2	mouse	29	C38	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
257	ELD2	mouse	29	C39	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
258	ELD2	mouse	29	C40	29-Aug-17	female	NA	solid	fecal	NA	14_days_post_inoc	2weeks_post_inoc
259	INF2	piglet	3of7	3B	4-Apr-18	female	late	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
260	INF2	piglet	3of7	3C	4-Apr-18	male	late	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
261	CHLD2	piglet	4of7	4A	14-Apr-18	male	NA	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
262	CHLD2	piglet	4of7	4B	14-Apr-18	male	NA	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
263	CHLD2	piglet	4of7	4C	14-Apr-18	female	NA	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
265	INF2	mouse	22	D4	5-Sep-17	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
266	INF2	mouse	22	D5	5-Sep-17	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
267	INF2	mouse	22	D6	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
268	INF2	mouse	22	D7	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
269	INF2	mouse	22	D8	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
270	INF2	mouse	22	D9	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
271	ELD2	piglet	6of7	6A	4-Apr-18	female	NA	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
272	ELD2	piglet	6of7	6B	4-Apr-18	male	NA	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
273	ELD2	piglet	6of7	6C	4-Apr-18	male	NA	solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
277	INF2	mouse	22	D10	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
278	CHLD2	mouse	27	D11	5-Sep-17	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
279	CHLD2	mouse	27	D12	5-Sep-17	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
280	CHLD2	mouse	27	D13	5-Sep-17	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
281	CHLD2	mouse	27	D14	5-Sep-17	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
282	CHLD2	mouse	27	D15	5-Sep-17	male	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
283	INF2	piglet	SF6	SF6A	22-Mar-18	female	early	milk_and_solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
284	INF2	piglet	SF6	SF6B	22-Mar-18	female	early	milk_and_solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
285	INF2	piglet	SF6	SF6C	22-Mar-18	female	early	milk_and_solid	fecal	NA	35_days_post_inoc	5weeks_post_inoc
289	INF2	piglet	3of7	3A	21-Mar-18	male	late	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
290	INF2	piglet	3of7	3B	21-Mar-18	female	late	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
291	INF2	piglet	3of7	3C	21-Mar-18	male	late	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
294	ELD2	piglet	6of7	6A	21-Mar-18	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
295	ELD2	mouse	29	D37	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
296	ELD2	mouse	29	D38	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
297	ELD2	mouse	29	D39	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
298	ELD2	mouse	29	D40	5-Sep-17	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
299	INF2	human	NA	NA	17-Feb-18	male	NA	solid	fecal	yes	donor_inocula	infant2_early_inoculum-1_pig
300	INF2	human	NA	NA	15-Mar-18	male	NA	solid	fecal	yes	donor_inocula	infant2_early_inoculum-2_pig
301	ELD2	piglet	6of7	6B	21-Mar-18	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
302	ELD2	piglet	6of7	6C	21-Mar-18	female	NA	solid	fecal	NA	21_days_post_inoc	3weeks_post_inoc
306	INF2	piglet	3of7	3A	9-Apr-18	male	late	solid	fecal	NA	40_days_post_inoc	Final_collection
307	INF2	mouse	22	E6	12-Sep-17	female	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
308	INF2	mouse	22	E7	12-Sep-17	female	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
309	INF2	mouse	22	E8	12-Sep-17	female	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
310	INF2	mouse	22	E9	12-Sep-17	female	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
313	INF2	piglet	3of7	3B	9-Apr-18	female	late	solid	fecal	NA	40_days_post_inoc	Final_collection
314	INF2	piglet	3of7	3C	9-Apr-18	male	late	solid	fecal	NA	40_days_post_inoc	Final_collection
315	CHLD2	piglet	4of7	4A	18-Apr-18	male	NA	solid	fecal	NA	40_days_post_inoc	Final_collection
316	CHLD2	piglet	4of7	4B	18-Apr-18	male	NA	solid	fecal	NA	40_days_post_inoc	Final_collection
317	CHLD2	piglet	4of7	4C	18-Apr-18	female	NA	solid	fecal	NA	40_days_post_inoc	Final_collection
319	CHLD2	mouse	27	E12	12-Sep-17	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
320	CHLD2	mouse	27	E13	12-Sep-17	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
321	CHLD2	mouse	27	E14	12-Sep-17	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
322	CHLD2	mouse	27	E15	12-Sep-17	male	NA	solid	fecal	NA	28_days_post_inoc	4weeks_post_inoc
323	INF2	human	NA	NA	2-Mar-18	NA	NA	solid	fecal	yes	donor_inocula	infant2_late_inoculum-1_pig
324	ELD2	human	NA	NA	15-Mar-18	female	NA	solid	fecal	yes	donor_inocula	elderly2_inoculum-2_pig
325	ELD2	piglet	6of7	6A	9-Apr-18	female	NA	solid	fecal	NA	40_days_post_inoc	Final_collection
